kode_provinsi,nama_provinsi,bentuk_usaha,tahun,jumlah
33,"Prov. Jawa Tengah","Badan Hukum",2003,242
33,"Prov. Jawa Tengah","Rumah Tangga",2013,4290619
33,"Prov. Jawa Tengah","Badan Hukum",2013,225
33,"Prov. Jawa Tengah","Lainnya",2013,579
34,"Prov. D I Yogyakarta","Rumah Tangga",2003,574920
34,"Prov. D I Yogyakarta","Badan Hukum",2003,44
34,"Prov. D I Yogyakarta","Rumah Tangga",2013,495781
34,"Prov. D I Yogyakarta","Badan Hukum",2013,20
34,"Prov. D I Yogyakarta","Lainnya",2013,90
35,"Prov. Jawa Timur","Rumah Tangga",2003,6314370
35,"Prov. Jawa Timur","Badan Hukum",2003,653
35,"Prov. Jawa Timur","Rumah Tangga",2013,4978358
35,"Prov. Jawa Timur","Badan Hukum",2013,410
35,"Prov. Jawa Timur","Lainnya",2013,1083
36,"Prov. Banten","Rumah Tangga",2003,898021
36,"Prov. Banten","Badan Hukum",2003,78
36,"Prov. Banten","Rumah Tangga",2013,592841
36,"Prov. Banten","Badan Hukum",2013,98
36,"Prov. Banten","Lainnya",2013,58
51,"Prov. Bali","Rumah Tangga",2003,492394
51,"Prov. Bali","Badan Hukum",2003,63
51,"Prov. Bali","Rumah Tangga",2013,408233
51,"Prov. Bali","Badan Hukum",2013,84
51,"Prov. Bali","Lainnya",2013,406
52,"Prov. Nusa Tenggara Barat","Rumah Tangga",2003,719875
52,"Prov. Nusa Tenggara Barat","Badan Hukum",2003,65
52,"Prov. Nusa Tenggara Barat","Rumah Tangga",2013,600613
52,"Prov. Nusa Tenggara Barat","Badan Hukum",2013,53
52,"Prov. Nusa Tenggara Barat","Lainnya",2013,98
53,"Prov. Nusa Tenggara Timur","Rumah Tangga",2003,729483
53,"Prov. Nusa Tenggara Timur","Badan Hukum",2003,35
53,"Prov. Nusa Tenggara Timur","Rumah Tangga",2013,778854
53,"Prov. Nusa Tenggara Timur","Badan Hukum",2013,37
53,"Prov. Nusa Tenggara Timur","Lainnya",2013,500
61,"Prov. Kalimantan Barat","Rumah Tangga",2003,614738
61,"Prov. Kalimantan Barat","Badan Hukum",2003,168
61,"Prov. Kalimantan Barat","Rumah Tangga",2013,627638
61,"Prov. Kalimantan Barat","Badan Hukum",2013,275
61,"Prov. Kalimantan Barat","Lainnya",2013,72
62,"Prov. Kalimantan Tengah","Rumah Tangga",2003,302414
62,"Prov. Kalimantan Tengah","Badan Hukum",2003,97
62,"Prov. Kalimantan Tengah","Rumah Tangga",2013,270914
62,"Prov. Kalimantan Tengah","Badan Hukum",2013,228
62,"Prov. Kalimantan Tengah","Lainnya",2013,164
63,"Prov. Kalimantan Selatan","Rumah Tangga",2003,471972
63,"Prov. Kalimantan Selatan","Badan Hukum",2003,122
63,"Prov. Kalimantan Selatan","Rumah Tangga",2013,432328
63,"Prov. Kalimantan Selatan","Badan Hukum",2013,125
63,"Prov. Kalimantan Selatan","Lainnya",2013,112
64,"Prov. Kalimantan Timur","Rumah Tangga",2003,203179
64,"Prov. Kalimantan Timur","Badan Hukum",2003,118
64,"Prov. Kalimantan Timur","Rumah Tangga",2013,180614
64,"Prov. Kalimantan Timur","Badan Hukum",2013,214
64,"Prov. Kalimantan Timur","Lainnya",2013,38
71,"Prov. Sulawesi Utara","Rumah Tangga",2003,324374
71,"Prov. Sulawesi Utara","Badan Hukum",2003,91
71,"Prov. Sulawesi Utara","Rumah Tangga",2013,253503
71,"Prov. Sulawesi Utara","Badan Hukum",2013,50
71,"Prov. Sulawesi Utara","Lainnya",2013,267
72,"Prov. Sulawesi Tengah","Rumah Tangga",2003,396622
72,"Prov. Sulawesi Tengah","Badan Hukum",2003,60
72,"Prov. Sulawesi Tengah","Rumah Tangga",2013,401891
72,"Prov. Sulawesi Tengah","Badan Hukum",2013,49
72,"Prov. Sulawesi Tengah","Lainnya",2013,131
73,"Prov. Sulawesi Selatan","Rumah Tangga",2003,1082251
73,"Prov. Sulawesi Selatan","Badan Hukum",2003,135
73,"Prov. Sulawesi Selatan","Rumah Tangga",2013,980946
73,"Prov. Sulawesi Selatan","Badan Hukum",2013,80
73,"Prov. Sulawesi Selatan","Lainnya",2013,129
74,"Prov. Sulawesi Tenggara","Rumah Tangga",2003,314011
74,"Prov. Sulawesi Tenggara","Badan Hukum",2003,18
74,"Prov. Sulawesi Tenggara","Rumah Tangga",2013,316262
74,"Prov. Sulawesi Tenggara","Badan Hukum",2013,32
74,"Prov. Sulawesi Tenggara","Lainnya",2013,20
75,"Prov. Gorontalo","Rumah Tangga",2003,133083
75,"Prov. Gorontalo","Badan Hukum",2003,42
75,"Prov. Gorontalo","Rumah Tangga",2013,122515
75,"Prov. Gorontalo","Badan Hukum",2013,26
75,"Prov. Gorontalo","Lainnya",2013,23
76,"Prov. Sulawesi Barat","Rumah Tangga",2003,167098
76,"Prov. Sulawesi Barat","Badan Hukum",2003,18
76,"Prov. Sulawesi Barat","Rumah Tangga",2013,185847
76,"Prov. Sulawesi Barat","Badan Hukum",2013,14
76,"Prov. Sulawesi Barat","Lainnya",2013,23
81,"Prov. Maluku","Rumah Tangga",2003,184376
81,"Prov. Maluku","Badan Hukum",2003,57
81,"Prov. Maluku","Rumah Tangga",2013,175362
81,"Prov. Maluku","Badan Hukum",2013,52
81,"Prov. Maluku","Lainnya",2013,235
82,"Prov. Maluku Utara","Rumah Tangga",2003,129246
82,"Prov. Maluku Utara","Badan Hukum",2003,21
82,"Prov. Maluku Utara","Rumah Tangga",2013,130233
82,"Prov. Maluku Utara","Badan Hukum",2013,20
82,"Prov. Maluku Utara","Lainnya",2013,69
91,"Prov. Papua Barat","Rumah Tangga",2003,75790
91,"Prov. Papua Barat","Badan Hukum",2003,32
91,"Prov. Papua Barat","Rumah Tangga",2013,70223
91,"Prov. Papua Barat","Badan Hukum",2013,41
91,"Prov. Papua Barat","Lainnya",2013,30
94,"Prov. Papua","Rumah Tangga",2003,280502
94,"Prov. Papua","Badan Hukum",2003,46
94,"Prov. Papua","Rumah Tangga",2013,438658
94,"Prov. Papua","Badan Hukum",2013,54
94,"Prov. Papua","Lainnya",2013,15
,"Prov. Kalimantan Utara","Rumah Tangga",2003,38948
,"Prov. Kalimantan Utara","Badan Hukum",2003,38
,"Prov. Kalimantan Utara","Rumah Tangga",2013,44735
,"Prov. Kalimantan Utara","Badan Hukum",2013,28
,"Prov. Kalimantan Utara","Lainnya",2013,
